[2026-03-18 14:30:59.144] INFO  26580 [kground-preinit]org.hibernate.validator.internal.util.Version.<clinit>（）@21 : HV000001: Hibernate Validator 8.0.1.Final
[2026-03-18 14:30:59.184] INFO  26580 [           main]com.tacomall.apima.ApiMaApplication.logStarting（）@50 : Starting ApiMaApplication using Java 17.0.18 with PID 26580 (E:\毕业设计\code\tacomall\server\api\ma\build\classes\java\main started by Administrator in E:\毕业设计\code\tacomall\server)
[2026-03-18 14:30:59.186] INFO  26580 [           main]com.tacomall.apima.ApiMaApplication.logStartupProfileInfo（）@659 : The following 1 profile is active: "dev"
[2026-03-18 14:31:00.332] INFO  26580 [           main]o.s.d.r.config.RepositoryConfigurationDelegate.multipleStoresDetected（）@292 : Multiple Spring Data modules found, entering strict repository configuration mode
[2026-03-18 14:31:00.337] INFO  26580 [           main]o.s.d.r.config.RepositoryConfigurationDelegate.registerRepositoriesIn（）@139 : Bootstrapping Spring Data Redis repositories in DEFAULT mode.
[2026-03-18 14:31:00.372] INFO  26580 [           main]o.s.d.r.config.RepositoryConfigurationDelegate.registerRepositoriesIn（）@208 : Finished Spring Data repository scanning in 7 ms. Found 0 Redis repository interfaces.
[2026-03-18 14:31:02.029] INFO  26580 [           main]o.s.boot.web.embedded.tomcat.TomcatWebServer.initialize（）@108 : Tomcat initialized with port 4002 (http)
[2026-03-18 14:31:02.042] INFO  26580 [           main]org.apache.coyote.http11.Http11NioProtocol.log（）@173 : Initializing ProtocolHandler ["http-nio-4002"]
[2026-03-18 14:31:02.046] INFO  26580 [           main]org.apache.catalina.core.StandardService.log（）@173 : Starting service [Tomcat]
[2026-03-18 14:31:02.047] INFO  26580 [           main]org.apache.catalina.core.StandardEngine.log（）@173 : Starting Servlet engine: [Apache Tomcat/10.1.16]
[2026-03-18 14:31:02.270] INFO  26580 [           main]o.a.c.core.ContainerBase.[Tomcat].[localhost].[/].log（）@173 : Initializing Spring embedded WebApplicationContext
[2026-03-18 14:31:02.272] INFO  26580 [           main]o.s.b.w.s.c.ServletWebServerApplicationContext.prepareWebApplicationContext（）@296 : Root WebApplicationContext: initialization completed in 3029 ms
[2026-03-18 14:31:03.770] INFO  26580 [           main]c.b.dynamic.datasource.DynamicRoutingDataSource.destroy（）@215 : dynamic-datasource start closing ....
[2026-03-18 14:31:03.770] INFO  26580 [           main]c.b.dynamic.datasource.DynamicRoutingDataSource.destroy（）@219 : dynamic-datasource all closed success,bye
[2026-03-18 14:31:03.775] INFO  26580 [           main]org.apache.catalina.core.StandardService.log（）@173 : Stopping service [Tomcat]
