[2026-04-22 16:00:33.450] INFO  12632 [kground-preinit]org.hibernate.validator.internal.util.Version.<clinit>（）@21 : HV000001: Hibernate Validator 8.0.1.Final
[2026-04-22 16:00:37.968] INFO  12632 [           main]com.tacomall.common.config.WxPayConfiguration.wxService（）@32 : ?? 檢測到微信支付配置初始化，正在使用開發者硬編碼模式...
[2026-04-22 16:00:38.127] INFO  12632 [           main]com.tacomall.common.config.WxPayConfiguration.wxService（）@57 : ? 微信支付服務 (WxPayService) 初始化成功！(硬編碼模式)
[2026-04-22 16:00:38.903] INFO  12632 [           main]org.apache.coyote.http11.Http11NioProtocol.log（）@173 : Starting ProtocolHandler ["http-nio-4002"]
[2026-04-22 16:00:39.202] INFO  12632 [           main]o.s.boot.web.embedded.tomcat.TomcatWebServer.start（）@221 : Tomcat started on port 4002 (http) with context path ''
[2026-04-22 16:00:39.229] INFO  12632 [           main]com.tacomall.apima.ApiMaApplication.logStarted（）@56 : Started ApiMaApplication in 6.252 seconds (process running for 7.404)
[2026-04-22 16:21:16.892] INFO  18832 [kground-preinit]org.hibernate.validator.internal.util.Version.<clinit>（）@21 : HV000001: Hibernate Validator 8.0.1.Final
[2026-04-22 16:21:16.935] INFO  18832 [           main]com.tacomall.apima.ApiMaApplication.logStarting（）@50 : Starting ApiMaApplication using Java 17.0.18 with PID 18832 (E:\毕业设计\code\tacomall\server\api\ma\build\classes\java\main started by Administrator in E:\毕业设计\code\tacomall\server\api\ma)
[2026-04-22 16:21:16.939] INFO  18832 [           main]com.tacomall.apima.ApiMaApplication.logStartupProfileInfo（）@659 : The following 1 profile is active: "dev"
[2026-04-22 16:21:17.799] INFO  18832 [           main]o.s.d.r.config.RepositoryConfigurationDelegate.multipleStoresDetected（）@292 : Multiple Spring Data modules found, entering strict repository configuration mode
[2026-04-22 16:21:17.802] INFO  18832 [           main]o.s.d.r.config.RepositoryConfigurationDelegate.registerRepositoriesIn（）@139 : Bootstrapping Spring Data Redis repositories in DEFAULT mode.
[2026-04-22 16:21:17.835] INFO  18832 [           main]o.s.d.r.config.RepositoryConfigurationDelegate.registerRepositoriesIn（）@208 : Finished Spring Data repository scanning in 9 ms. Found 0 Redis repository interfaces.
[2026-04-22 16:21:18.935] INFO  18832 [           main]o.s.boot.web.embedded.tomcat.TomcatWebServer.initialize（）@108 : Tomcat initialized with port 4002 (http)
[2026-04-22 16:21:18.943] INFO  18832 [           main]org.apache.coyote.http11.Http11NioProtocol.log（）@173 : Initializing ProtocolHandler ["http-nio-4002"]
[2026-04-22 16:21:18.946] INFO  18832 [           main]org.apache.catalina.core.StandardService.log（）@173 : Starting service [Tomcat]
[2026-04-22 16:21:18.946] INFO  18832 [           main]org.apache.catalina.core.StandardEngine.log（）@173 : Starting Servlet engine: [Apache Tomcat/10.1.16]
[2026-04-22 16:21:19.103] INFO  18832 [           main]o.a.c.core.ContainerBase.[Tomcat].[localhost].[/].log（）@173 : Initializing Spring embedded WebApplicationContext
[2026-04-22 16:21:19.103] INFO  18832 [           main]o.s.b.w.s.c.ServletWebServerApplicationContext.prepareWebApplicationContext（）@296 : Root WebApplicationContext: initialization completed in 2110 ms
[2026-04-22 16:21:19.245] INFO  18832 [           main]com.zaxxer.hikari.HikariDataSource.<init>（）@80 : master - Starting...
[2026-04-22 16:21:19.399] INFO  18832 [           main]com.zaxxer.hikari.pool.HikariPool.checkFailFast（）@565 : master - Added connection com.mysql.cj.jdbc.ConnectionImpl@20864cd1
[2026-04-22 16:21:19.402] INFO  18832 [           main]com.zaxxer.hikari.HikariDataSource.<init>（）@82 : master - Start completed.
[2026-04-22 16:21:19.403] INFO  18832 [           main]c.b.dynamic.datasource.DynamicRoutingDataSource.addDataSource（）@158 : dynamic-datasource - add a datasource named [master] success
[2026-04-22 16:21:19.403] INFO  18832 [           main]c.b.dynamic.datasource.DynamicRoutingDataSource.afterPropertiesSet（）@241 : dynamic-datasource initial loaded [1] datasource,primary datasource named [master]
[2026-04-22 16:21:20.292] INFO  18832 [           main]com.tacomall.common.config.RedisConfig.logRedisConnectionMode（）@55 : Redis connection settings prepared. address=127.0.0.1:10010, authMode=password-only
[2026-04-22 16:21:20.782] INFO  18832 [           main]com.tacomall.common.config.WxMaConfiguration.init（）@98 : ? 微信小程序服務初始化成功！共加載 1 個配置。
[2026-04-22 16:21:21.093] INFO  18832 [           main]com.tacomall.common.config.RedisConfig.redisPoolFactory（）@73 : Redis is configured with password-only authentication.
[2026-04-22 16:21:21.093] INFO  18832 [           main]com.tacomall.common.config.RedisConfig.redisPoolFactory（）@80 : JedisPool injected successfully
[2026-04-22 16:21:21.093] INFO  18832 [           main]com.tacomall.common.config.RedisConfig.redisPoolFactory（）@81 : redis address: 127.0.0.1:10010
[2026-04-22 16:21:21.449] INFO  18832 [           main]com.tacomall.common.config.WxPayConfiguration.wxService（）@32 : ?? 檢測到微信支付配置初始化，正在使用開發者硬編碼模式...
[2026-04-22 16:21:21.572] INFO  18832 [           main]com.tacomall.common.config.WxPayConfiguration.wxService（）@57 : ? 微信支付服務 (WxPayService) 初始化成功！(硬編碼模式)
[2026-04-22 16:21:22.228] INFO  18832 [           main]org.apache.coyote.http11.Http11NioProtocol.log（）@173 : Starting ProtocolHandler ["http-nio-4002"]
[2026-04-22 16:21:22.257] INFO  18832 [           main]o.s.boot.web.embedded.tomcat.TomcatWebServer.start（）@221 : Tomcat started on port 4002 (http) with context path ''
[2026-04-22 16:21:22.287] INFO  18832 [           main]com.tacomall.apima.ApiMaApplication.logStarted（）@56 : Started ApiMaApplication in 5.88 seconds (process running for 6.431)
[2026-04-22 16:21:51.547] INFO  18832 [nio-4002-exec-1]o.a.c.core.ContainerBase.[Tomcat].[localhost].[/].log（）@173 : Initializing Spring DispatcherServlet 'dispatcherServlet'
[2026-04-22 16:21:51.548] INFO  18832 [nio-4002-exec-1]org.springframework.web.servlet.DispatcherServlet.initServletBean（）@532 : Initializing Servlet 'dispatcherServlet'
[2026-04-22 16:21:51.551] INFO  18832 [nio-4002-exec-1]org.springframework.web.servlet.DispatcherServlet.initServletBean（）@554 : Completed initialization in 3 ms
[2026-04-22 16:32:46.859] INFO  26304 [kground-preinit]org.hibernate.validator.internal.util.Version.<clinit>（）@21 : HV000001: Hibernate Validator 8.0.1.Final
[2026-04-22 16:32:46.899] INFO  26304 [           main]com.tacomall.apima.ApiMaApplication.logStarting（）@50 : Starting ApiMaApplication using Java 17.0.18 with PID 26304 (E:\毕业设计\code\tacomall\server\api\ma\build\classes\java\main started by Administrator in E:\毕业设计\code\tacomall\server\api\ma)
[2026-04-22 16:32:46.901] INFO  26304 [           main]com.tacomall.apima.ApiMaApplication.logStartupProfileInfo（）@659 : The following 1 profile is active: "dev"
[2026-04-22 16:32:47.811] INFO  26304 [           main]o.s.d.r.config.RepositoryConfigurationDelegate.multipleStoresDetected（）@292 : Multiple Spring Data modules found, entering strict repository configuration mode
[2026-04-22 16:32:47.814] INFO  26304 [           main]o.s.d.r.config.RepositoryConfigurationDelegate.registerRepositoriesIn（）@139 : Bootstrapping Spring Data Redis repositories in DEFAULT mode.
[2026-04-22 16:32:47.854] INFO  26304 [           main]o.s.d.r.config.RepositoryConfigurationDelegate.registerRepositoriesIn（）@208 : Finished Spring Data repository scanning in 11 ms. Found 0 Redis repository interfaces.
[2026-04-22 16:32:48.836] INFO  26304 [           main]o.s.boot.web.embedded.tomcat.TomcatWebServer.initialize（）@108 : Tomcat initialized with port 4002 (http)
[2026-04-22 16:32:48.843] INFO  26304 [           main]org.apache.coyote.http11.Http11NioProtocol.log（）@173 : Initializing ProtocolHandler ["http-nio-4002"]
[2026-04-22 16:32:48.845] INFO  26304 [           main]org.apache.catalina.core.StandardService.log（）@173 : Starting service [Tomcat]
[2026-04-22 16:32:48.845] INFO  26304 [           main]org.apache.catalina.core.StandardEngine.log（）@173 : Starting Servlet engine: [Apache Tomcat/10.1.16]
[2026-04-22 16:32:48.984] INFO  26304 [           main]o.a.c.core.ContainerBase.[Tomcat].[localhost].[/].log（）@173 : Initializing Spring embedded WebApplicationContext
[2026-04-22 16:32:48.984] INFO  26304 [           main]o.s.b.w.s.c.ServletWebServerApplicationContext.prepareWebApplicationContext（）@296 : Root WebApplicationContext: initialization completed in 2025 ms
[2026-04-22 16:32:49.134] INFO  26304 [           main]com.zaxxer.hikari.HikariDataSource.<init>（）@80 : master - Starting...
[2026-04-22 16:32:49.283] INFO  26304 [           main]com.zaxxer.hikari.pool.HikariPool.checkFailFast（）@565 : master - Added connection com.mysql.cj.jdbc.ConnectionImpl@20864cd1
[2026-04-22 16:32:49.285] INFO  26304 [           main]com.zaxxer.hikari.HikariDataSource.<init>（）@82 : master - Start completed.
[2026-04-22 16:32:49.286] INFO  26304 [           main]c.b.dynamic.datasource.DynamicRoutingDataSource.addDataSource（）@158 : dynamic-datasource - add a datasource named [master] success
[2026-04-22 16:32:49.286] INFO  26304 [           main]c.b.dynamic.datasource.DynamicRoutingDataSource.afterPropertiesSet（）@241 : dynamic-datasource initial loaded [1] datasource,primary datasource named [master]
[2026-04-22 16:32:50.144] INFO  26304 [           main]com.tacomall.common.config.RedisConfig.logRedisConnectionMode（）@55 : Redis connection settings prepared. address=127.0.0.1:10010, authMode=password-only
[2026-04-22 16:32:50.472] INFO  26304 [           main]com.tacomall.common.config.WxMaConfiguration.init（）@98 : ? 微信小程序服務初始化成功！共加載 1 個配置。
[2026-04-22 16:32:50.747] INFO  26304 [           main]com.tacomall.common.config.RedisConfig.redisPoolFactory（）@73 : Redis is configured with password-only authentication.
[2026-04-22 16:32:50.747] INFO  26304 [           main]com.tacomall.common.config.RedisConfig.redisPoolFactory（）@80 : JedisPool injected successfully
[2026-04-22 16:32:50.747] INFO  26304 [           main]com.tacomall.common.config.RedisConfig.redisPoolFactory（）@81 : redis address: 127.0.0.1:10010
[2026-04-22 16:32:51.126] INFO  26304 [           main]com.tacomall.common.config.WxPayConfiguration.wxService（）@32 : ?? 檢測到微信支付配置初始化，正在使用開發者硬編碼模式...
[2026-04-22 16:32:51.278] INFO  26304 [           main]com.tacomall.common.config.WxPayConfiguration.wxService（）@57 : ? 微信支付服務 (WxPayService) 初始化成功！(硬編碼模式)
[2026-04-22 16:32:52.054] INFO  26304 [           main]org.apache.coyote.http11.Http11NioProtocol.log（）@173 : Starting ProtocolHandler ["http-nio-4002"]
[2026-04-22 16:32:52.416] INFO  26304 [           main]o.s.boot.web.embedded.tomcat.TomcatWebServer.start（）@221 : Tomcat started on port 4002 (http) with context path ''
[2026-04-22 16:32:52.463] INFO  26304 [           main]com.tacomall.apima.ApiMaApplication.logStarted（）@56 : Started ApiMaApplication in 6.125 seconds (process running for 7.392)
